,t,z,Precipitation (mm),AirTemp (DegC),WindSpeed_Avg (m/s),EVI,sum_rain_10,sum_rain_20,sum_rain_30,sum_rain_40,sum_rain_50,sum_rain_60,sum_rain_70,sum_rain_80,sum_rain_90,sum_rain_100,water_content,time
0,0,0.3048,0.0,13.671666666666669,0.4068333333333333,2287.716613247864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 00:00:00
1,0,0.5588,0.0,13.671666666666669,0.4068333333333333,2287.716613247864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 00:00:00
2,0,0.762,0.0,13.671666666666669,0.4068333333333333,2287.716613247864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 00:00:00
3,1,0.3048,0.0,13.18,0.4848333333333333,2288.440972222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 01:00:00
4,1,0.5588,0.0,13.18,0.4848333333333333,2288.440972222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 01:00:00
5,1,0.762,0.0,13.18,0.4848333333333333,2288.440972222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 01:00:00
6,2,0.3048,0.0,12.571666666666667,0.3881666666666667,2289.165331196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 02:00:00
7,2,0.5588,0.0,12.571666666666667,0.3881666666666667,2289.165331196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 02:00:00
8,2,0.762,0.0,12.571666666666667,0.3881666666666667,2289.165331196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 02:00:00
9,3,0.3048,0.0,12.186666666666667,0.4493333333333333,2289.88969017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 03:00:00
10,3,0.5588,0.0,12.186666666666667,0.4493333333333333,2289.88969017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 03:00:00
11,3,0.762,0.0,12.186666666666667,0.4493333333333333,2289.88969017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 03:00:00
12,4,0.3048,0.0,11.18,0.2779999999999999,2290.6140491453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 04:00:00
13,4,0.5588,0.0,11.18,0.2779999999999999,2290.6140491453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 04:00:00
14,4,0.762,0.0,11.18,0.2779999999999999,2290.6140491453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 04:00:00
15,5,0.3048,0.0,10.111666666666666,0.286,2291.338408119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 05:00:00
16,5,0.5588,0.0,10.111666666666666,0.286,2291.338408119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 05:00:00
17,5,0.762,0.0,10.111666666666666,0.286,2291.338408119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 05:00:00
18,6,0.3048,0.0,9.425,0.2275,2292.062767094017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 06:00:00
19,6,0.5588,0.0,9.425,0.2275,2292.062767094017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2023-12-20 06:00:00
20,6,0.762,0.0,9.425,0.2275,2292.062767094017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,2023-12-20 06:00:00
21,7,0.3048,0.0,9.023333333333332,0.3166666666666667,2292.787126068376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,2023-12-20 07:00:00
